Publisher;SoftwareName;SubName1;SubName2;PreferredExtension;Arch;UpdateOption;SourceType;SourceRef;ManifestSubPath;AssetPattern;ManualVersionRequired
7zip;7zip;;;.msi;x64;API;Winget;7zip.7zip;;;
Chocolatey;Chocolatey;;;.nupkg;x64;WEB;DirectUrl;https://community.chocolatey.org/api/v2/package/chocolatey;;;
Chocolatey;ChocolateyGUI;;;.msi;x64;API;GitHubRelease;chocolatey/ChocolateyGUI;;.*\.msi$;
Devolutions;RemoteDesktopManager;;;.msi;x64;API;Winget;Devolutions.RemoteDesktopManager;;;
Google;Chrome;;;.msi;x64;API;Winget;Google.Chrome;;;
Greenshot;Greenshot;;;.exe;x86;API;Winget;Greenshot.Greenshot;;;
Intel;IntelDriverAndSupportAssistant;;;.exe;x86;API;Winget;Intel.IntelDriverAndSupportAssistant;;;
Lenovo;SystemUpdate;;;.exe;x86;API;Winget;Lenovo.SystemUpdate;;;
Microsoft;AppInstaller;;;.msixbundle;x64;API;Winget;Microsoft.AppInstaller;;;
Microsoft;DotNet;DesktopRuntime;6;.exe;x64;API;Winget;Microsoft.DotNet.DesktopRuntime.6;;;
Microsoft;DotNet;DesktopRuntime;8;.exe;x64;API;Winget;Microsoft.DotNet.DesktopRuntime.8;;;
Microsoft;DotNet;DesktopRuntime;9;.exe;x64;API;Winget;Microsoft.DotNet.DesktopRuntime.9;;;
Microsoft;Edge;;;.msi;x64;API;Winget;Microsoft.Edge;;;
Microsoft;EdgeWebView2Runtime;;;.exe;x64;API;Winget;Microsoft.EdgeWebView2Runtime;;;
Microsoft;NuGet;;;.exe;x86;API;Winget;Microsoft.NuGet;;;
Microsoft;PowerShell;;;.msi;x64;API;Winget;Microsoft.PowerShell;;;
Microsoft;SQLServer;2022;Express;.exe;x64;API;Winget;Microsoft.SQLServer.2022.Express;;;
Microsoft;SQLServerManagementStudio;21;;.exe;x64;API;Winget;Microsoft.SQLServerManagementStudio.21;;;
Microsoft;SQLServerManagementStudio;22;;.exe;x64;API;Winget;Microsoft.SQLServerManagementStudio.22;;;
Microsoft;VCLibs;Desktop;14;.appx;x64;API;Winget;Microsoft.VCLibs.Desktop.14;;;
Microsoft;VCRedist;2015+;x64;.exe;x64;API;Winget;Microsoft.VCRedist.2015+.x64;;;
Microsoft;VCRedist;2015+;x86;.exe;x86;API;Winget;Microsoft.VCRedist.2015+.x86;;;
Microsoft;UI;Xaml;2;.appx;x64;API;Winget;Microsoft.UI.Xaml.2.8;8;;
Microsoft;WindowsPCHealthCheck;;;.msi;x64;API;Winget;Microsoft.WindowsPCHealthCheck;;;
Microsoft;WindowsTerminal;;;.msixbundle;x64;API;Winget;Microsoft.WindowsTerminal;;;
Notepad++;Notepad++;;;.exe;x64;API;Winget;Notepad++.Notepad++;;;
PuTTY;PuTTY;;;.msi;x64;API;Winget;PuTTY.PuTTY;;;
VMware;VMwareTools;;;.exe;x64;WEB;WebDirectory;https://packages.vmware.com/tools/esx/latest/windows/x64/;;.*\.exe$;
WinSCP;WinSCP;;;.exe;x86;API;Winget;WinSCP.WinSCP;;;
